latitude,longitude,cluster
-6.9147,107.6098,0
-6.9146,107.6097,0
-6.9148,107.6099,0
-6.915,107.61,0
-6.9145,107.6096,0
-6.9149,107.6101,0
-6.9144,107.6095,0
-6.9151,107.6102,0
-6.9152,107.61,0
-6.9143,107.6094,0
-6.8732,107.5936,1
-6.873,107.5937,1
-6.8731,107.5938,1
-6.8729,107.5935,1
-6.8733,107.5939,1
-6.8728,107.5936,1
-6.8734,107.5937,1
-6.8731,107.5935,1
-6.8735,107.5938,1
-6.8732,107.5939,1
-6.9703,107.6287,2
-6.9702,107.6286,2
-6.9704,107.6288,2
-6.9705,107.6289,2
-6.9701,107.6285,2
-6.9706,107.629,2
-6.9703,107.6285,2
-6.9704,107.6286,2
-6.9705,107.6287,2
-6.9702,107.6288,2
